name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Sayh al Uhaymir 436,45928,Valid,H~5,808.1,Found,2001.0,21.09807,57.28043,"(21.09807, 57.28043)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 437,45929,Valid,H~4,1358.1,Found,2001.0,21.08997,57.29492,"(21.08997, 57.29492)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 438,51661,Valid,H5,90.7,Found,2007.0,21.09905,57.267669999999995,"(21.09905, 57.26767)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 439,45930,Valid,LL~5,37.9,Found,2007.0,20.545,56.67417,"(20.545, 56.67417)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 440,45931,Valid,LL~5,5.9,Found,2007.0,20.55157,56.683080000000004,"(20.55157, 56.68308)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 441,45932,Valid,LL~3,11.7,Found,2007.0,20.55088,56.683530000000005,"(20.55088, 56.68353)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 442,45933,Valid,L~6,28.6,Found,2007.0,20.541220000000003,56.68055,"(20.54122, 56.68055)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 443,45934,Valid,LL~5,4.7,Found,2007.0,20.53877,56.674080000000004,"(20.53877, 56.67408)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 444,45935,Valid,LL~5,17.4,Found,2007.0,20.5318,56.6687,"(20.5318, 56.6687)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 445,45936,Valid,LL~5,31.3,Found,2007.0,20.53217,56.67183000000001,"(20.53217, 56.67183)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 446,45937,Valid,LL~3,15.1,Found,2007.0,20.530720000000002,56.67097,"(20.53072, 56.67097)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 447,45938,Valid,LL~3,32.8,Found,2007.0,20.55037,56.6854,"(20.55037, 56.6854)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 448,45939,Valid,LL~5,2.5,Found,2007.0,20.545,56.67333000000001,"(20.545, 56.67333)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 449,45940,Valid,Lunar,16.5,Found,2006.0,21.04,57.315,"(21.04, 57.315)",Achondrite,Lunar,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 450,45941,Valid,L4,1713.81,Found,2006.0,20.8825,57.35723,"(20.8825, 57.35723)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 451,45942,Valid,H4,167.41,Found,2006.0,20.79325,57.35065,"(20.79325, 57.35065)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 452,45943,Valid,H6,676.0,Found,2006.0,20.59517,56.83023000000001,"(20.59517, 56.83023)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 453,45944,Valid,L4,298.93,Found,2006.0,20.47928,56.82898,"(20.47928, 56.82898)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 454,45945,Valid,L6,120.88,Found,2006.0,20.47928,56.754419999999996,"(20.47928, 56.75442)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 455,45946,Valid,H5,274.79,Found,2006.0,20.47955,56.74435,"(20.47955, 56.74435)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 456,45947,Valid,L6,94.12,Found,2006.0,20.43822,56.70383,"(20.43822, 56.70383)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 457,45948,Valid,H4,16.92,Found,2006.0,20.33928,56.56445,"(20.33928, 56.56445)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 463,51662,Valid,L~6,519.3,Found,2008.0,20.01585,56.55805,"(20.01585, 56.55805)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 464,51663,Valid,LL5,210.3,Found,2008.0,20.025570000000002,56.55826999999999,"(20.02557, 56.55827)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
